Name,Calories,Total Fat,Saturated Fat,Trans Fat,Polyunsaturated Fat,Monounsaturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein,Vitamin D,Calcium,Iron,Potassium,Vitamin A,Vitamin C
potato-(flesh-and-skin),77,0.09g,0.026g,0,0.043g,0.002g,0mg,6mg,17.47g,2.2g,0.78g,2.02g,0,12mg,0.78mg,421mg,0mcg,19.7mg
potato-(skin),58,0.1g,0.026g,0,0.043g,0.002g,0mg,10mg,12.44g,2.5g,0,2.57g,0,30mg,3.24mg,413mg,0mcg,11.4mg
potato-(flesh-and-skin-without-salt-baked),93,0.13g,0.035g,0,0.058g,0.003g,0mg,10mg,21.15g,2.2g,1.18g,2.5g,0,15mg,1.08mg,535mg,1mcg,9.6mg
potato-chips-(light-from-dried-potatoes),501,25.7g,5.13g,0,13.49g,5.92g,0mg,428mg,64.9g,3.6g,5.01g,5.6g,0,34mg,1.51mg,1005mg,0mcg,12mg
potato-chips-(from-dried-potatoes),558,38.4g,9.45g,0,19.98g,7.27g,0mg,656mg,51g,3.6g,5.01g,5.9g,0,24mg,1.5mg,1008mg,0mcg,8.2mg
potato-chips-(salted),547,37.47g,10.96g,0,12.17g,9.84g,0mg,525mg,49.74g,4.4g,4.12g,6.56g,0,24mg,1.61mg,1642mg,0mcg,18.6mg
potato-chips-(reduced-fat),471,20.8g,4.16g,0,10.94g,4.8g,0mg,492mg,66.9g,5.9g,0.22g,7.1g,0,21mg,1.35mg,1744mg,0mcg,25.7mg
potato-chips-(fat-free-made-with-olestra),265,0.7g,0.159g,0,0.284g,0.252g,0mg,652mg,59.2g,3.9g,0.22g,6.63g,0,34mg,1.49mg,1290mg,0mcg,29.5mg
potato-chips-(from-dried-potatoes-fat-free-made-with-olestra),253,0.85g,0.355g,0,0.19g,0.3g,0mg,553mg,56g,6.5g,2g,5.8g,0,29mg,1.25mg,705mg,0mcg,15.3mg
potato-chips-(salted-with-partially-hydrogenated-soybean-oil),536,34.6g,5.43g,0,9.16g,18g,0mg,594mg,52.9g,4.8g,0,7g,0,24mg,1.63mg,1275mg,0mcg,31.1mg
potato-chips-(unsalted),536,34.6g,10.96g,0,12.17g,9.84g,0mg,8mg,52.9g,4.8g,0.22g,7g,0,24mg,1.63mg,1275mg,0mcg,31.1mg
potato-flour,357,0.34g,0.09g,0,0.15g,0.008g,0mg,55mg,83.08g,5.9g,3.52g,6.9g,0,65mg,1.38mg,1001mg,0mcg,3.8mg
potato-chips-(unsalted-with-partially-hydrogenated-soybean-oil),536,34.6g,5.43g,0,9.16g,18g,0mg,8mg,52.9g,4.8g,0,7g,0,24mg,1.63mg,1275mg,0mcg,31.1mg
